"id","occCount"
"2921-22-10",2
"2921-22-11",3
"2921-23-00",7
"2921-23-01",1
"2921-23-10",3
"2921-23-11",4
"2921-24-00",3
"2921-24-10",3
"2921-24-11",2
"2921-27-01",2
"2921-27-11",4
"2921-32-00",1
"2921-32-01",2
"2921-32-10",1
"2921-32-11",2
"2921-33-00",1
"2921-33-01",1
"2921-35-10",4
"2921-36-10",1
"2921-36-11",1
"2921-37-00",1
"2921-37-01",4
"2921-37-11",2
"2921-38-00",1
"2921-38-10",4
"2921-40-00",1
"2921-40-11",1
"2921-41-00",7
"2921-42-10",1
"2921-42-11",4
"2921-43-01",5
"2921-43-10",2
"2921-43-11",2
"2921-46-00",9
"2921-46-01",1
"2921-46-10",1
"2921-48-00",5
"2921-48-10",1
"2921-48-11",2
"2921-50-10",3
"2921-52-01",1
"2921-53-00",3
"2921-53-11",1
"2921-54-10",6
"2921-54-11",1
"2921-55-10",1
"2921-55-11",1
"2921-56-10",1
"2921-57-00",1
"2921-57-01",5
"2921-57-10",1
"2921-58-00",6
"2921-58-01",1
"2921-58-10",1
"2921-59-01",1
"2921-60-00",3
"2921-60-11",1
"2921-61-00",3
"2921-61-01",6
"2921-61-10",4
"2921-62-01",2
"2921-63-00",1
"2921-63-01",1
"2921-63-11",1
"2921-64-00",2
"2921-64-10",4
"2921-65-01",2
"2921-65-10",1
"2921-66-10",2
"2921-66-11",2
"2921-67-00",2
"2921-67-01",4
"2921-67-10",2
"2921-68-10",1
"2921-69-10",2
"2921-70-01",1
"2921-70-10",1
"2921-70-11",1
"2921-71-00",1
"2921-71-01",4
"2921-71-11",4
"2921-72-00",1
"2921-72-01",1
"2921-72-10",3
"2921-72-11",1
"2921-73-10",2
"2921-73-11",4
"2921-74-10",8
"2921-74-11",1
"2921-75-01",1
"2921-75-10",1
"2921-76-00",1
"2921-77-01",4
"2921-77-10",7
"2921-77-11",1
"2921-78-10",21
"2921-80-00",2
"2921-80-10",1
"2921-81-10",1
"2921-81-11",3
"2921-82-00",1
"2921-82-01",3
"2921-83-00",2
"2921-83-10",1
"2921-84-00",2
"2921-84-10",2
"2921-84-11",4
"2921-85-00",4
"2921-85-01",1
"2921-85-10",1
"2921-85-11",5
"2921-86-00",1
"2921-86-11",5
"2921-87-00",2
"2921-87-01",61
"2921-88-00",24
"2921-88-10",3
"2921-89-00",3
"2921-93-00",1
"2921-93-01",1
"2921-93-11",2
"2921-94-00",1
"2921-94-01",1
"2921-94-10",6
"2921-94-11",6
"2921-95-00",3
"2921-95-01",3
"2921-95-10",2
"2921-95-11",18
"2921-96-00",1
"2921-96-10",11
"2921-96-11",1
"2921-97-10",3
"2921-97-11",1
"2921-98-00",2
"2921-99-00",1
"2922-00-10",1
"2922-70-11",1
"2922-80-00",1
"2922-80-11",1
"3021-00-00",2
"3021-00-11",19
"3021-01-11",2
"3021-03-00",8
"3021-03-01",2
"3021-04-00",2
"3021-04-01",1
"3021-04-10",1
"3021-04-11",2
"3021-05-00",20
"3021-05-01",15
"3021-05-10",9
"3021-05-11",3
"3021-06-00",3
"3021-06-10",4
"3021-07-00",1
"3021-07-01",1
"3021-07-11",2
"3021-08-01",2
"3021-08-11",2
"3021-09-00",2
"3021-09-01",11
"3021-09-10",1
"3021-14-00",2
"3021-14-01",6
"3021-14-10",3
"3021-14-11",1
"3021-15-00",13
"3021-15-01",12
"3021-15-10",8
"3021-15-11",12
"3021-16-00",4
"3021-16-01",2
"3021-16-11",1
"3021-17-00",6
"3021-17-01",1
"3021-17-10",2
"3021-17-11",7
"3021-18-01",1
"3021-18-10",20
"3021-19-00",4
"3021-19-10",2
"3021-24-00",12
"3021-24-01",2
"3021-25-00",13
"3021-25-01",8
"3021-25-10",1
"3021-26-10",5
