"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"6452536bd9db0801d6bb8ebb","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","03",23.45639487,121.3807995,,0,"land","t0005610","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Chironomidae",,,,,
"645218f4d9db0801d6b17a67","台灣生物多樣性網絡 TBN","綠網-農地昆蟲","HumanObservation","2018","09",23.72525,120.633983333333,,100,"land","t0086026","subspecies","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum","Orthetrum pruinosum neglectum","true","true",,,"Orthetrum pruinosum"
"64525365d9db0801d6bb6a3d","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","03",23.45006979,121.4003718,,0,"land","t0005610","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Chironomidae",,,,,
"655f31ffffe552001710e47d","GBIF","iNaturalist Research-grade Observations","HumanObservation","2020","08",24.551006,120.972437,,198,"land","t0030451","species","Other insects","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chondracris","Chondracris rosea","true",,,,"Chondracris rosea"
"66082633f0716400545d01fc","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","11",23.730459,120.786465,,195,"land","t0028377","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Trithemis","Trithemis festiva","true","true",,,"Trithemis festiva"
"64525363d9db0801d6bb5e2b","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","04",23.45100753,121.3957626,,0,"land","t0005610","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Chironomidae",,,,,
"655f3101ffe5520017109c0b","GBIF","iNaturalist Research-grade Observations","HumanObservation","2022","07",25.164725,121.567628,,10,"land","t0028458","species","Other insects","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Vagitanus","Vagitanus terminalis","true",,,,"Vagitanus terminalis"
"655f52d8ffe552001719cd5f","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","09",22.617495,120.280997,,20,"land","t0086369","subspecies","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Tramea","Tramea transmarina euryale","true","true",,,"Tramea transmarina"
"655f5c28ffe55200171bccee","GBIF","iNaturalist Research-grade Observations","HumanObservation","2020","08",25.150683,121.548181,,172,"land","t0082488","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum","Orthetrum glaucum","true","true",,,"Orthetrum glaucum"
"655f3d05ffe5520017140d3b","GBIF","iNaturalist Research-grade Observations","HumanObservation","2019","04",23.308763,120.311118,,4,"land","t0066431","species","Other insects","Animalia","Arthropoda","Insecta","Hemiptera","Rhopalidae","Jadera","Jadera haematoloma","true",,,,"Jadera haematoloma"
"645218f4d9db0801d6b177e0","台灣生物多樣性網絡 TBN","綠網-農地昆蟲","HumanObservation","2019","06",24.5801083333333,120.818494444444,,100,"land","t0086026","subspecies","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum","Orthetrum pruinosum neglectum","true","true",,,"Orthetrum pruinosum"
"655f29adffe55200170e8e33","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","05",24.895506,121.13486,,4,"land","t0079261","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Platycnemididae","Copera","Copera marginipes","true","true",,,"Copera marginipes"
"653ab8cd9a3184000d65172b","台灣生物多樣性網絡 TBN","基隆綠網調查資料集","HumanObservation","2022","07",25.085523,121.733569,,200,"land","t0068173","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Lyriothemis","Lyriothemis elegantissima","true","true",,,"Lyriothemis elegantissima"
"655f3d05ffe5520017140dc8","GBIF","iNaturalist Research-grade Observations","HumanObservation","2020","11",24.993966,121.58785,,5,"land","t0086099","subspecies","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Phimenes","Phimenes flavopictus formosanus","true",,,,"Phimenes flavopictus"
